region,difficulty,investor,scenario,strategy,seed,day,gameState,cash,loan,creditLimit,creditUsage,maxCreditUsage,minCash,minTrust,minCsi,maxInventoryAndTransit,monthEndCount,netAssets,inventory,pendingOrders,soldVehicles,csi,trust,badReviews,defaultedDrafts,endingRank,bankruptcy,dismissed,won,months
"capital","rookie","roi_first","star12","balanced",1,360,"won",13399064.365999902,4985804,14029297,0.3553851629201378,0.35805210846834423,3614621.9579999996,52,91.20000000000003,20,11,11383260.365999902,10,0,121,95.2,62,0,0,"regional_star",false,false,true,12
"capital","rookie","roi_first","star12","balanced",2,360,"won",19015228.09779999,8580000,15681596,0.5471381866998741,0.5611795601921982,3286875.037799999,72,89.25000000000041,20,11,13405228.09779999,10,0,120,91.45000000000023,100,0,0,"regional_star",false,false,true,12
"capital","rookie","roi_first","star12","aggressive",1,301,"dismissed",10760895.580800023,7992047,10853330,0.7363681929877742,0.7623125825666852,2896074.681999999,34,91.80857142857118,30,10,6926848.580800023,14,1,172,100,34,3,0,"",false,true,false,11
"capital","rookie","roi_first","star12","aggressive",2,211,"dismissed",14533316.023000011,6353827,11781345,0.5393125318034571,0.6361543552328975,3332914.1333999992,30,90.59714285714253,30,7,8179489.023000011,0,0,114,97.09714285714249,30,3,0,"",false,true,false,8
"capital","rookie","brand_keeper","survive6","conservative",1,151,"dismissed",4167182.3974000094,3113361,10165207,0.30627620273743567,0.31445194139691374,3155393.2024000073,44,90.59999999999992,8,5,2538821.3974000094,5,0,5,95.09999999999988,44,3,0,"",false,true,false,6
"capital","rookie","brand_keeper","survive6","conservative",2,180,"won",4868569.143199986,1729205,13215058,0.13085110939354183,0.20453125,3434990.3259999966,64,93.19999999999999,8,5,5434536.143199986,6,0,34,96.89999999999989,100,0,0,"excellent",false,false,true,6
"capital","rookie","brand_keeper","survive6","balanced",1,180,"won",16160391.568200005,1320000,19259268,0.0685384304325585,0.288687265625,2966346.9507999998,72,92.46571428571428,12,5,15880762.768200006,0,4,173,99.95000000000007,100,0,0,"regional_star",false,false,true,6
"capital","rookie","brand_keeper","survive6","balanced",2,180,"won",13023621.41020001,1027633,18671464,0.055037623187983546,0.3195205816006046,3248927.6411999986,72,91.10000000000045,16,5,14829932.41020001,4,8,170,97.30000000000058,100,0,0,"regional_star",false,false,true,6
"capital","rookie","brand_keeper","survive6","aggressive",1,180,"won",8659597.008800004,5840018,19422317,0.30068595832309813,0.6345669925763635,2730600.994999999,72,91.87714285714252,30,5,13258904.608800005,29,0,193,96.2971428571424,100,0,0,"regional_star",false,false,true,6
"capital","rookie","brand_keeper","survive6","aggressive",2,180,"won",13897911.96379999,1670325,21248634,0.0786085825564128,0.43775844001886655,3192440.5067999996,72,90.5085714285709,29,5,19026030.96379999,12,12,289,95.34285714285646,100,0,0,"regional_star",false,false,true,6
"capital","rookie","brand_keeper","double12","conservative",1,360,"dismissed",7544801.402400064,3889590,12287164,0.31655718113634684,0.31655718113634684,3174602.875,48,85.1599999999999,8,11,5734211.402400065,7,0,36,90.55999999999948,100,0,0,"failed",false,true,false,12
"capital","rookie","brand_keeper","double12","conservative",2,360,"won",8641702.021399941,4495240,13303720,0.3378934613777199,0.3378934613777199,2946228.987000003,64,86.89142857142849,8,11,6225462.021399941,7,0,41,95.2914285714283,100,0,0,"regional_star",false,false,true,12
"capital","rookie","brand_keeper","double12","balanced",1,360,"won",17435805.00660003,10380848,15202315,0.6828465269927639,0.6842180402353254,3698676.8788,72,86.66000000000015,27,11,10024957.00660003,10,0,99,95.06000000000002,100,0,0,"regional_star",false,false,true,12
"capital","rookie","brand_keeper","double12","balanced",2,360,"dismissed",16287117.315800026,11548565,11652976,0.9910399712485463,0.9910399712485463,3383818.583800003,55,91.42857142857166,28,11,4672552.315800026,2,0,57,95.12857142857155,55,1,0,"failed",false,true,false,12
"capital","rookie","brand_keeper","double12","aggressive",1,360,"won",31038311.51580002,1261892,25060846,0.05035312854163024,0.5458001079216493,3260423.0786,72,91.65714285714266,30,11,35993933.11580002,12,12,546,95.5971428571419,100,0,0,"regional_star",false,false,true,12
"capital","rookie","brand_keeper","double12","aggressive",2,360,"won",27527090.50499995,4138725,21366901,0.19369795367142853,0.42742921875,3268188.811600001,72,91.95714285714223,30,11,31899155.104999952,26,0,414,95.10857142857051,100,0,0,"regional_star",false,false,true,12
"capital","rookie","brand_keeper","star12","conservative",1,360,"won",8998105.249200068,4001668,12735120,0.31422303048577477,0.31422303048577477,3484417.5049999957,60,89.54285714285692,8,11,7075437.249200068,7,0,61,95.12285714285686,72,1,0,"regional_star",false,false,true,12
