region,difficulty,investor,scenario,strategy,seed,day,gameState,cash,loan,creditLimit,creditUsage,netAssets,inventory,pendingOrders,soldVehicles,csi,trust,badReviews,defaultedDrafts,endingRank,bankruptcy,dismissed,won,months
"low_comp","rookie","volume_growth","double12","balanced",6,360,"won",34966372.68840003,8211868,27166290,0.30228154083608766,36413523.08840003,29,0,341,93.75000000000003,100,0,0,"regional_star",false,false,true,12
"low_comp","rookie","volume_growth","double12","balanced",7,360,"won",30265490.071199976,5229000,23851415,0.2192322761563622,31359520.471199974,19,0,315,87.10000000000012,100,0,0,"regional_star",false,false,true,12
"low_comp","rookie","volume_growth","double12","balanced",8,360,"won",17833990.989199977,3578478,20521515,0.17437689176457002,20824919.38919998,18,2,244,99.15,100,0,0,"regional_star",false,false,true,12
"low_comp","rookie","volume_growth","double12","aggressive",1,181,"dismissed",7551931.901399981,6553182,10063925,0.6511556872691321,9314749.901399981,28,0,100,100,44,3,0,"",false,true,false,7
"low_comp","rookie","volume_growth","double12","aggressive",2,360,"won",34869053.013599925,2611050,26226358,0.0995582383188699,42475044.613599926,30,0,453,97.51428571428484,100,0,0,"regional_star",false,false,true,12
"low_comp","rookie","volume_growth","double12","aggressive",3,360,"won",40401618.61440004,6707200,32674899,0.20527071866388938,44570249.014400035,29,0,548,96.39428571428404,100,0,0,"regional_star",false,false,true,12
"low_comp","rookie","volume_growth","double12","aggressive",4,181,"dismissed",8290721.3020000225,7019902,10245667,0.6851581258692089,8992819.302000023,26,0,102,97.43999999999974,26,3,0,"",false,true,false,7
"low_comp","rookie","volume_growth","double12","aggressive",5,331,"dismissed",22155716.31440004,3197052,13656455,0.23410555667631167,26977664.31440004,27,0,330,98.09142857142788,34,3,0,"",false,true,false,12
"low_comp","rookie","volume_growth","double12","aggressive",6,360,"won",42288318.07879999,1980000,20316993,0.09745536654956764,49136958.07879999,27,0,514,96.08857142857094,88,1,0,"regional_star",false,false,true,12
"low_comp","rookie","volume_growth","double12","aggressive",7,121,"dismissed",3145859.2381999902,7266739,8980031,0.8092109036149207,2517767.4381999895,22,0,20,97.50285714285707,18,3,0,"",false,true,false,5
"low_comp","rookie","volume_growth","double12","aggressive",8,360,"won",38420560.49079999,1205000,29969720,0.04020724918350922,44143351.690799996,15,6,522,95.09714285714216,100,0,0,"regional_star",false,false,true,12
"low_comp","rookie","volume_growth","star12","conservative",1,360,"won",13348242.076200007,1260427,16422697,0.07674908694960396,14583055.876200007,7,0,106,96.39999999999958,100,0,0,"regional_star",false,false,true,12
"low_comp","rookie","volume_growth","star12","conservative",2,360,"won",9616680.593999958,4345869,11274730,0.3854521571691739,7052811.593999958,6,1,43,92.04857142857125,68,2,0,"excellent",false,false,true,12
"low_comp","rookie","volume_growth","star12","conservative",3,360,"won",12590129.856200017,582096,17481788,0.033297280575648215,13159610.656200018,1,2,111,90.75428571428534,100,0,0,"regional_star",false,false,true,12
"low_comp","rookie","volume_growth","star12","conservative",4,331,"dismissed",8562151.875599992,1980000,10312439,0.19200113571580885,8958151.875599992,8,0,70,95.29428571428551,34,3,0,"",false,true,false,12
