region,difficulty,scenario,strategy,samples,winRate,bankruptcyRate,dismissalRate,avgNetAssets,avgCash,avgLoan,avgCreditUsage,avgMaxCreditUsage,avgMinCash,avgMinTrust,avgMinCsi,avgMaxInventoryAndTransit,avgSales,avgInventory,avgCsi,avgTrust
"low_comp","rookie","survive6","conservative",10,0.8,0,0.2,5778157.485800003,5578003.485800003,1890377.2,0.1547111140281842,0.2644645315809512,3294267.67364,46.2,91.41914285714279,8.1,37.8,5.5,95.52142857142844,74.4
"nev_hot","rookie","survive6","aggressive",10,1,0,0,12005611.8391,8129077.3191,5738947,0.3811106934766292,0.6586821623886879,1852388.629219999,72,91.11628571428543,30,203.6,22.6,95.90228571428518,97.6
"nev_hot","rookie","survive6","balanced",10,1,0,0,10329892.058740001,8955472.69874,4295590,0.27258889921794716,0.39503680654665524,2708757.94082,72,93.50000000000007,18.2,123.4,11.9,98.10700000000008,98.4
"nev_hot","rookie","survive6","conservative",10,0.9,0,0.1,5314119.114579996,5098589.234579995,2035531.4,0.17495041275399426,0.2675347593778167,3142931.822139999,49.4,90.73228571428564,8.1,32.4,5.9,95.56542857142846,72.3
"tier1","rookie","survive6","aggressive",10,0.8,0.2,0,9530263.734220002,8252818.934220003,6957024.8,0.5701723363146427,0.7189112332523916,3018576.7929000002,72,91.51714285714266,29.9,153.4,23.9,96.76057142857107,89
"tier1","rookie","survive6","balanced",10,0.9,0,0.1,7304607.3125,7667520.572500001,4577863.5,0.40174665097588075,0.5097262989954908,3285723.1518599996,65.6,93.39457142857148,20.1,88.3,12.1,96.72000000000006,82.6
"tier1","rookie","survive6","conservative",10,0.6,0,0.4,4334778.705860001,4198444.625860001,1841345.2,0.1750561999567978,0.2614795885830162,3265976.350080001,33.4,88.90342857142855,8.2,19.1,6.1,93.59285714285707,48.1
"capital","standard","survive6","aggressive",10,0.8,0.2,0,11527720.4389,9141480.2789,5366160,0.41761658808818514,0.8109912534975632,2027065.8003600002,70.1,89.51228571428571,29.9,208.3,19.8,95.88285714285671,92.1
"capital","standard","survive6","balanced",10,0.8,0,0.2,8227514.812560001,8431120.27256,5832504.9,0.42070682322660036,0.5822482805882697,2359182.13662,67.4,89.69428571428573,22.4,121.6,15.3,97.41285714285725,88.2
"capital","standard","survive6","conservative",10,0.8,0,0.2,4952424.940300002,5130506.280300002,2393670.3,0.1990951519894006,0.3926540540283415,2423758.2095200014,42.4,88.64199999999997,11,39.4,6.3,94.94371428571415,75.9
"low_comp","standard","survive6","aggressive",10,0.9,0.1,0,17404071.844060007,13652096.924060008,3543788.6,0.2263579588862777,0.8746474093827967,2143564.9218199993,69.8,88.79971428571427,28.5,264.9,16.5,95.84685714285669,95
"low_comp","standard","survive6","balanced",10,1,0,0,11511452.797560006,10373724.197560007,3922859,0.23073907470560956,0.5665538023255813,2227886.063900001,72,89.82914285714286,20,151.3,12.3,98.95185714285718,100
"low_comp","standard","survive6","conservative",10,0.8,0,0.2,5370882.207080004,5014053.447080004,1591455.4,0.14201289254437338,0.40766279069767436,2419316.2325200015,48,89.22999999999999,10.7,42.4,5.4,95.12285714285699,72.9
"nev_hot","standard","survive6","aggressive",10,0.8,0.2,0,9020645.581900002,6050749.2019000035,7088039.3,0.5443637376643113,0.8489041987198156,786734.6815199998,70.4,89.0814285714285,29.9,187.4,24.6,95.82971428571392,90.8
"nev_hot","standard","survive6","balanced",10,0.9,0,0.1,7888702.611179995,6396159.051179996,5571709,0.3947776520113303,0.5845340353368793,1445616.148159999,68.4,88.87085714285718,24.9,121.9,17.6,98.31371428571445,92.2
"nev_hot","standard","survive6","conservative",10,0.5,0,0.5,2699320.283140001,2780498.563140001,2906579,0.288889223293088,0.4029351875379496,2090216.4146400013,29.6,89.09457142857143,11,14.4,8.5,94.51171428571426,41.1
"tier1","standard","survive6","aggressive",10,1,0,0,8530680.242700003,6221491.322700002,6153929.8,0.5267757371408849,0.7444155640509811,2122904.7762600007,69.2,89.23742857142847,30,153.8,25.5,97.13342857142825,84.4
"tier1","standard","survive6","balanced",10,0.8,0.1,0.1,6779199.071979997,6198389.471979996,6692558,0.5380481932883389,0.6744860846534583,2369507.677260001,65.3,89.21057142857146,25.9,103.2,21.7,96.56571428571448,85.5
"tier1","standard","survive6","conservative",10,0.6,0,0.4,3230520.2700399975,3456415.490039998,2613672.5,0.26537032907234537,0.36959729540534175,2308240.006919999,36.8,88.85199999999998,10.8,21.5,7.5,94.62771428571423,50.3
